name,condition,sector,account_type,account_category,notes,model_name,model_family,experiment_role,acf1,cv,trend_strength,seasonality_strength,n_weeks,n_externals_selected,mae_baseline,mae_with_externals,r2_baseline,r2_with_externals,rmse_baseline,rmse_with_externals,rmse_lift_pct,mae_lift_pct,r2_gain
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,holt_winters,statistical,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,0,15702.159294079836,,-0.2775542207980909,,17615.65316676792,,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,holt_winters,statistical,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,9,,16943.022590441713,,-0.34083837911181913,,17976.873028631304,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,lgbm,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,0,19044.820329606857,,-0.823002587881617,,22139.335942420385,,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,lgbm,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,8,,17902.656569382034,,-0.6928842560605276,,21664.718939633593,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,rf,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,0,17920.934665706664,,-0.699820701454029,,21273.803573288416,,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,rf,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,8,,15981.241331121642,,-0.17668256678131652,,17809.549044034957,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,ridge,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,0,18397.638316641398,,-0.5817424323113854,,21634.31506532451,,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,ridge,ml,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,9,,17152.405908443627,,-0.30893947322078524,,19576.611211505937,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,sarima,statistical,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,0,15099.448329149574,,-0.26727864621348807,,17528.11815329769,,,,
EXP1_A_clean_AGR_000,A_clean,agriculture,normal,D_volatile,agriculture|normal|A_clean,sarima,statistical,calibration,0.0,0.4410142939081839,0.0034903410448451954,0.1961598741887131,104,9,,13944.156185538382,,-0.5379886730341609,,16986.97816120367,,,
